id_jlpt,tipo,categoria,caracter,romaji,significado,onyomi,kunyomi,contraparte,palabra_ejemplo
84,kanji,N4,自,ji,Uno mismo,ジ / シ (ji / shi),みずか (mizuka),,
85,kanji,N4,社,sha,Empresa / Santuario,シャ (sha),やしろ (yashiro),,
86,kanji,N4,発,hatsu,Salida / Emisión,ハツ / ホツ (hatsu / hotsu),-,,
87,kanji,N4,者,mono,Persona,シャ (sha),もの (mono),,
88,kanji,N4,地,chi,Tierra / Lugar,チ / ジ (chi / ji),-,,
89,kanji,N4,業,gyou,Trabajo / Industria,ギョウ / ゴウ (gyou / gou),わざ (waza),,
90,kanji,N4,方,kata,Dirección / Forma,ホウ (hou),かた (kata),,
91,kanji,N4,場,ba,Lugar,ジョウ (jou),ば (ba),,
92,kanji,N4,員,in,Miembro,イン (in),-,,
93,kanji,N4,立,tatsu,Levantarse / Estar de pie,リツ / リュウ (ritsu / ryuu),た (ta),,
94,kanji,N4,開,hiraku,Abrir,カイ (kai),ひら / あ (hira / a),,
95,kanji,N4,力,chikara,Fuerza,リョク / リキ (ryoku / riki),ちから (chikara),,
96,kanji,N4,問,tou,Pregunta / Problema,モン (mon),と (to),,
97,kanji,N4,代,dai,Generación / Sustituto,ダイ / タイ (dai / tai),か / よ / しろ (ka / yo / shiro),,
98,kanji,N4,明,akarui,Claro / Brillante,メイ / ミョウ (mei / myou),あか / あ (aka / a),,
99,kanji,N4,文,bun,Texto / Frase,ブン / モン (bun / mon),ふみ (fumi),,
100,kanji,N4,使,tsukau,Usar,シ (shi),つか (tsuka),,
101,kanji,N4,私,watashi,Yo / Privado,シ (shi),わたし / わたくし (watashi / watakushi),,
102,kanji,N4,家,ie,Casa / Familia,カ / ケ (ka / ke),いえ / や (ie / ya),,
103,kanji,N4,電,den,Electricidad,デン (den),-,,
104,kanji,N4,毎,mai,Cada,マイ (mai),-,,
105,kanji,N4,週,shuu,Semana,シュウ (shuu),-,,
106,kanji,N4,曜,you,Día de la semana,ヨウ (you),-,,
107,kanji,N4,言,iu,Decir / Palabra,ゲン / ゴン (gen / gon),い / こと (i / koto),,
108,kanji,N4,知,shiru,Saber / Conocer,チ (chi),し (shi),,
109,kanji,N4,思,omou,Pensar / Sentir,シ (shi),おも (omo),,
110,kanji,N4,考,kangaeru,Pensar / Considerar,コウ (kou),かんが (kanga),,
111,kanji,N4,作,tsukuru,Hacer / Crear,サク / サ (saku / sa),つく (tsuku),,
112,kanji,N4,住,sumu,Vivir / Residir,ジュウ (juu),す (su),,
113,kanji,N4,正,tadashii,Correcto / Justo,セイ / ショウ (sei / shou),ただ / まさ (tada / masa),,
114,kanji,N4,教,oshieru,Enseñar,キョウ (kyou),おし / おそ (oshi / oso),,
115,kanji,N4,歩,aruku,Caminar,ホ / ブ / フ (ho / bu / fu),ある / あゆ (aru / ayu),,
116,kanji,N4,走,hashiru,Correr,ソウ (sou),はし (hashi),,
117,kanji,N4,起,okiru,Levantarse / Ocurrir,キ (ki),お (o),,
118,kanji,N4,寝,neru,Dormir,シン (shin),ね (ne),,
119,kanji,N4,休,yasumu,Descansar,キュウ (kyuu),やす (yasu),,
120,kanji,N4,持,motsu,Tener / Sostener,ジ (ji),も (mo),,
121,kanji,N4,近,chikai,Cerca,キン (kin),ちか (chika),,
122,kanji,N4,遠,tooi,Lejos,エン / オン (en / on),とお (too),,
123,kanji,N4,速,hayai,Rápido,ソク (soku),はや (haya),,
124,kanji,N4,遅,osoi,Tarde / Lento,チ (chi),おそ / おく (oso / oku),,
125,kanji,N4,道,michi,Camino / Vía,ドウ / トウ (dou / tou),みち (michi),,
126,kanji,N4,通,tooru,Pasar / Comunicar,ツウ / ツ (tsuu / tsu),とお / かよ (too / kayo),,
127,kanji,N4,運,hakobu,Llevar / Suerte,ウン (un),はこ (hako),,
128,kanji,N4,動,ugoku,Mover,ドウ (dou),うご (ugo),,
129,kanji,N4,止,tomaru,Detener,シ (shi),と (to),,
130,kanji,N4,待,matsu,Esperar,タイ (tai),ま (ma),,
131,kanji,N4,貸,kasu,Prestar,タイ (tai),か (ka),,
132,kanji,N4,借,kariru,Pedir prestado,シャク (shaku),か (ka),,
133,kanji,N4,返,kaesu,Devolver,ヘン (hen),かえ (kae),,
134,kanji,N4,送,okuru,Enviar,ソウ (sou),おく (oku),,
135,kanji,N4,集,atsumaru,Reunir,シュウ (shuu),あつ (atsu),,
136,kanji,N4,始,hajimeru,Empezar,シ (shi),はじ (haji),,
137,kanji,N4,終,owaru,Terminar,シュウ (shuu),お (o),,
138,kanji,N4,着,tsuku,Llegar / Vestir,チャク / ジャク (chaku / jaku),つ / き (tsu / ki),,
139,kanji,N4,服,fuku,Ropa,フク (fuku),-,,
140,kanji,N4,洋,you,Occidente / Océano,ヨウ (you),-,,
141,kanji,N4,町,machi,Pueblo / Ciudad,チョウ (chou),まち (machi),,
142,kanji,N4,市,ichi,Ciudad / Mercado,シ (shi),いち (ichi),,
143,kanji,N4,村,mura,Aldea,ソン (son),むら (mura),,
144,kanji,N4,区,ku,Distrito,ク (ku),-,,
145,kanji,N4,県,ken,Prefectura,ケン (ken),-,,
146,kanji,N4,都,to,Capital / Metrópolis,ト / ツ (to / tsu),みやこ (miyako),,
147,kanji,N4,京,kyou,Capital,キョウ / ケイ (kyou / kei),-,,
148,kanji,N4,店,mise,Tienda,テン (ten),みせ (mise),,
149,kanji,N4,駅,eki,Estación,エキ (eki),-,,
150,kanji,N4,銀,gin,Plata,ギン (gin),-,,
151,kanji,N4,病,byou,Enfermedad,ビョウ / ヘイ (byou / hei),や (ya),,
152,kanji,N4,院,in,Institución / Hospital,イン (in),-,,
153,kanji,N4,医,i,Medicina / Médico,イ (i),-,,
154,kanji,N4,薬,kusuri,Medicina,ヤク (yaku),くすり (kusuri),,
155,kanji,N4,室,shitsu,Habitación / Sala,シツ (shitsu),むろ (muro),,
156,kanji,N4,屋,ya,Tienda / Techo,オク (oku),や (ya),,
157,kanji,N4,堂,dou,Salón / Templo,ドウ (dou),-,,
158,kanji,N4,旅,tabi,Viaje,リョ (ryo),たび (tabi),,
159,kanji,N4,物,mono,Cosa / Objeto,ブツ / モツ (butsu / motsu),もの (mono),,
160,kanji,N4,品,shina,Producto / Artículo,ヒン (hin),しな (shina),,
161,kanji,N4,理,ri,Razón / Lógica,リ (ri),-,,
162,kanji,N4,体,karada,Cuerpo,タイ (tai),からだ (karada),,
163,kanji,N4,田,ta,Campo de arroz,デン (den),た (ta),,
164,kanji,N4,主,omo,Principal / Dueño,シュ (shu),おも / ぬし (omo / nushi),,
165,kanji,N4,題,dai,Tema / Título,ダイ (dai),-,,
166,kanji,N4,意,i,Idea / Significado,イ (i),-,,
167,kanji,N4,不,fu,No / Negación,フ / ブ (fu / bu),-,,
168,kanji,N4,用,you,Uso / Asunto,ヨウ (you),もち (mochi),,
169,kanji,N4,度,do,Grado / Vez,ド / タク (do / taku),たび (tabi),,
170,kanji,N4,強,tsuyoi,Fuerte,キョウ / ゴウ (kyou / gou),つよ (tsuyo),,
171,kanji,N4,公,kou,Público,コウ (kou),おおやけ (ooyake),,
172,kanji,N4,野,no,Campo / Silvestre,ヤ (ya),の (no),,
173,kanji,N4,以,i,Por medio / Desde,イ (i),もっ (mo),,
174,kanji,N4,世,yo,Mundo / Generación,セイ / セ (sei / se),よ (yo),,
175,kanji,N4,心,kokoro,Corazón / Mente,シン (shin),こころ (kokoro),,
176,kanji,N4,界,kai,Mundo / Límite,カイ (kai),-,,
177,kanji,N4,元,moto,Origen / Antiguo,ゲン / ガン (gen / gan),もと (moto),,
178,kanji,N4,重,omoi,Pesado / Importante,ジュウ / チョウ (juu / chou),おも / かさ (omo / kasa),,
179,kanji,N4,画,ga,Dibujo / Imagen,ガ / カク (ga / kaku),-,,
180,kanji,N4,海,umi,Mar,カイ (kai),うみ (umi),,
181,kanji,N4,売,uru,Vender,バイ (bai),う (u),,
182,kanji,N4,別,betsu,Separado / Diferente,ベツ (betsu),わか (waka),,
183,kanji,N4,計,kei,Medir / Plan,ケイ (kei),はか (haka),,
184,kanji,N4,死,shinu,Muerte / Morir,シ (shi),し (shi),,
185,kanji,N4,特,toku,Especial,トク (toku),-,,
186,kanji,N4,朝,asa,Mañana,チョウ (chou),あさ (asa),,
187,kanji,N4,台,dai,Base / Contador,ダイ / タイ (dai / tai),うてな (utena),,
188,kanji,N4,広,hiroi,Amplio,コウ (kou),ひろ (hiro),,
189,kanji,N4,無,nai,Nada / Sin,ム / ブ (mu / bu),な (na),,
190,kanji,N4,真,ma,Verdad / Real,シン (shin),ま / まこと (ma / makoto),,
191,kanji,N4,有,aru,Tener / Existir,ユウ / ウ (yuu / u),あ (a),,
192,kanji,N4,料,ryou,Tarifa / Material,リョウ (ryou),-,,
193,kanji,N4,工,kou,Trabajo / Construcción,コウ / ク (kou / ku),-,,
194,kanji,N4,建,tateru,Construir,ケン / コン (ken / kon),た (ta),,
195,kanji,N4,空,sora,Cielo / Vacío,クウ (kuu),そら / あ / から (sora / a / kara),,
196,kanji,N4,急,isogu,Urgente / Apurarse,キュウ (kyuu),いそ (iso),,
197,kanji,N4,切,kiru,Cortar,セツ / サイ (setsu / sai),き (ki),,
198,kanji,N4,転,korogaru,Girar / Cambiar,テン (ten),ころ (koro),,
199,kanji,N4,研,togu,Investigar / Pulir,ケン (ken),と (to),,
200,kanji,N4,究,kyuu,Investigar / Profundizar,キュウ (kyuu),-,,
